"","GEOID","Low_to_No_Income","Category"
"1",25025010405,6.4773735581189,"economic status"
"2",25025010404,2.93995859213251,"economic status"
"3",25025010801,9.78704525288376,"economic status"
"4",25025010702,9.44690919846199,"economic status"
"5",25025010204,7.35285418515232,"economic status"
"6",25025010802,9.08606921029281,"economic status"
"7",25025010104,6.97131026323573,"economic status"
"8",25025000703,4.85359361135759,"economic status"
"9",25025000504,4.18219461697723,"economic status"
"10",25025000704,5.38598047914818,"economic status"
"11",25025010103,8.84057971014493,"economic status"
"12",25025000803,8.2312925170068,"economic status"
"13",25025980300,9.28423543330376,"economic status"
"14",25025120201,6.38864241348713,"economic status"
"15",25025120104,8.80804495711328,"economic status"
"16",25025110607,8.00354924578527,"economic status"
"17",25025000302,7.76989056492162,"economic status"
"18",25025000301,8.87902987281869,"economic status"
"19",25025140400,5.10795622596865,"economic status"
"20",25025140300,5.97456373853889,"economic status"
"21",25025140201,9.52676722863058,"economic status"
"22",25025140202,7.51552795031056,"economic status"
"23",25025140102,8.0301685891748,"economic status"
"24",25025100800,7.44454303460515,"economic status"
"25",25025100601,7.5125702454895,"economic status"
"26",25025100500,6.28512274475007,"economic status"
"27",25025100400,6.77610174504585,"economic status"
"28",25025100300,6.14019520851819,"economic status"
"29",25025130402,8.87607216799763,"economic status"
"30",25025130300,9.44395149364093,"economic status"
"31",25025130200,9.4321206743567,"economic status"
"32",25025130100,8.87902987281869,"economic status"
"33",25025120700,8.78734102336587,"economic status"
"34",25025120600,9.23395445134576,"economic status"
"35",25025120500,7.77580597456374,"economic status"
"36",25025120400,6.60455486542443,"economic status"
"37",25025110601,9.52972493345164,"economic status"
"38",25025110502,8.57734398107069,"economic status"
"39",25025110501,8.11298432416445,"economic status"
"40",25025110401,7.08666075125702,"economic status"
"41",25025101102,3.61727299615498,"economic status"
"42",25025101101,7.55397811298432,"economic status"
"43",25025101002,5.63738538893818,"economic status"
"44",25025101001,5.51020408163265,"economic status"
"45",25025100900,6.1106181603076,"economic status"
"46",25025981600,4.04614019520852,"economic status"
"47",25025051101,4.04614019520852,"economic status"
"48",25025051000,7.22271517302573,"economic status"
"49",25025030400,8.30819284235433,"economic status"
"50",25025030300,7.54214729370009,"economic status"
"51",25025981300,9.95267672286306,"economic status"
"52",25025110103,5.31499556344277,"economic status"
"53",25025110301,9.28719313812481,"economic status"
"54",25025140106,7.61608991422656,"economic status"
"55",25025010701,8.80212954747116,"economic status"
"56",25025010408,8.65720201123928,"economic status"
"57",25025000503,8.66607512570246,"economic status"
"58",25025030200,8.81691807157646,"economic status"
"59",25025030100,8.2815734989648,"economic status"
"60",25025020200,7.6279207335108,"economic status"
"61",25025010600,8.97663413191364,"economic status"
"62",25025010500,6.80567879325643,"economic status"
"63",25025010300,9.44986690328305,"economic status"
"64",25025000802,0,"economic status"
"65",25025000701,6.52173913043478,"economic status"
"66",25025981201,6.09780143941635,"economic status"
"67",25025981501,10,"economic status"
"68",25025981700,7.96509908311151,"economic status"
"69",25025981800,10,"economic status"
"70",25025100200,8.53002070393375,"economic status"
"71",25025081200,3.7237503697131,"economic status"
"72",25025081100,5.33274179236912,"economic status"
"73",25025080900,4.88612836438923,"economic status"
"74",25025080801,4.65542738834664,"economic status"
"75",25025080601,5.78822833481219,"economic status"
"76",25025080500,4.32416444838805,"economic status"
"77",25025080401,5.44513457556936,"economic status"
"78",25025080300,7.22567287784679,"economic status"
"79",25025071101,5.15527950310559,"economic status"
"80",25025070900,7.44158532978409,"economic status"
"81",25025100100,1.75983436853002,"economic status"
"82",25025092400,3.00207039337474,"economic status"
"83",25025092300,7.65454007690033,"economic status"
"84",25025092200,7.95326826382727,"economic status"
"85",25025092000,4.62880804495711,"economic status"
"86",25025091900,6.50990831115055,"economic status"
"87",25025091800,6.5424430641822,"economic status"
"88",25025091700,5.69062407571724,"economic status"
"89",25025091600,4.13191363501922,"economic status"
"90",25025050101,3.89825495415558,"economic status"
"91",25025050901,5.30612244897959,"economic status"
"92",25025060501,8.70748299319728,"economic status"
"93",25025140107,9.04761904761905,"economic status"
"94",25025130404,9.15409642117717,"economic status"
"95",25025981202,10,"economic status"
"96",25025040100,9.3670511682934,"economic status"
"97",25025040600,8.85536823425022,"economic status"
"98",25025000602,5.04288671990535,"economic status"
"99",25025000601,7.54806270334221,"economic status"
"100",25025000502,6.91511387163561,"economic status"
"101",25025000402,6.69624371487726,"economic status"
"102",25025130406,4.34782608695652,"economic status"
"103",25025120103,9.65394853593611,"economic status"
"104",25025100700,8.56551316178645,"economic status"
"105",25025100603,9.64507542147294,"economic status"
"106",25025092101,2.89855072463768,"economic status"
"107",25025061101,5.43921916592724,"economic status"
"108",25025070800,6.55427388346643,"economic status"
"109",25025070700,8.43833185448092,"economic status"
"110",25025070600,9.29606625258799,"economic status"
"111",25025070500,5.43330375628512,"economic status"
"112",25025070300,7.18722271517303,"economic status"
"113",25025000401,4.38331854480923,"economic status"
"114",25025000202,6.69920141969831,"economic status"
"115",25025000201,8.3821354628808,"economic status"
"116",25025981100,9.65394853593611,"economic status"
"117",25025140105,7.86749482401656,"economic status"
"118",25025980700,10,"economic status"
"119",25025120105,9.39071280686188,"economic status"
"120",25025070200,4.32416444838805,"economic status"
"121",25025070101,6.29399585921325,"economic status"
"122",25025061200,8.3821354628808,"economic status"
"123",25025061000,4.11120970127181,"economic status"
"124",25025060800,8.31115054717539,"economic status"
"125",25025060700,6.41821946169772,"economic status"
"126",25025040401,8.57438627624963,"economic status"
"127",25025020303,8.70748299319728,"economic status"
"128",25025070402,6.86779059449867,"economic status"
"129",25025020302,9.54451345755693,"economic status"
"130",25025020301,8.65128660159716,"economic status"
"131",25025020101,9.17184265010352,"economic status"
"132",25025081001,1.96095829636202,"economic status"
"133",25025010403,5.22922212363206,"economic status"
"134",25025000100,7.83496007098492,"economic status"
"135",25025120301,8.1455190771961,"economic status"
"136",25025071201,5.12866015971606,"economic status"
"137",25025091001,7.34398107068914,"economic status"
"138",25025091500,5.37119195504289,"economic status"
"139",25025091400,6.98905649216208,"economic status"
"140",25025091300,6.77314404022479,"economic status"
"141",25025091200,7.68115942028985,"economic status"
"142",25025091100,5.75273587695948,"economic status"
"143",25025090700,6.16977225672878,"economic status"
"144",25025090600,7.44454303460515,"economic status"
"145",25025090400,6.11357586512866,"economic status"
"146",25025090300,5.34753031647442,"economic status"
"147",25025090200,5.08429458740018,"economic status"
"148",25025080100,7.84974859509021,"economic status"
"149",25025060301,8.68973676427093,"economic status"
"150",25025090901,3.10854776693286,"economic status"
"151",25025980101,8.96776101745046,"economic status"
"152",25025060101,8.62762496302869,"economic status"
"153",25025981502,10,"economic status"
"154",25025060600,9.51493640934635,"economic status"
"155",25025060400,8.20171546879621,"economic status"
"156",25025060200,9.39958592132505,"economic status"
"157",25025040801,5.37414965986395,"economic status"
"158",25025010203,4.21768707482993,"economic status"
"159",25025110403,7.70777876367938,"economic status"
"160",25025110201,8.47678201715469,"economic status"
"161",25025981000,10,"economic status"
"162",25025090100,5.40372670807453,"economic status"
"163",25025082100,0.54421768707483,"economic status"
"164",25025082000,6.93877551020408,"economic status"
"165",25025051200,8.36143152913339,"economic status"
"166",25025050700,6.36793847973972,"economic status"
"167",25025050600,7.74327122153209,"economic status"
"168",25025050500,8.17509612540668,"economic status"
"169",25025050400,8.05383022774327,"economic status"
"170",25025050300,5.46288080449571,"economic status"
"171",25025050200,4.89500147885241,"economic status"
"172",25025040300,7.73439810706892,"economic status"
"173",25025040200,7.79946761313221,"economic status"
"174",25025030500,9.01212658976634,"economic status"
"175",25025081900,6.7435669920142,"economic status"
"176",25025081800,6.26441881100266,"economic status"
"177",25025081700,5.40964211771665,"economic status"
"178",25025081500,7.60721679976338,"economic status"
"179",25025081400,7.66045548654244,"economic status"
"180",25025081300,0.804495711328009,"economic status"
