"","Name","Low_to_No","category"
"1","Allston",0.779695175714825,"economic status"
"2","Back Bay",7.73385702344009,"economic status"
"3","Bay Village",2.92312213964813,"economic status"
"4","Brighton",3.49369298040414,"economic status"
"5","Charlestown",6.80795230297687,"economic status"
"6","Dorchester",3.19338464564234,"economic status"
"7","East Boston",4.10370143774852,"economic status"
"8","Fenway",4.15858420455977,"economic status"
"9","Harbor Islands",8.97342234538355,"economic status"
"10","Hyde Park",6.94703363143973,"economic status"
"11","Jamaica Plain",5.71944409455431,"economic status"
"12","Leather District",3.28001007683587,"economic status"
"13","Longwood Medical Area",10,"economic status"
"14","Mattapan",3.66812570852752,"economic status"
"15","Mission Hill",0,"economic status"
"16","North End",7.85972204727716,"economic status"
"17","Roslindale",7.23551804733314,"economic status"
"18","Roxbury",2.06065817072572,"economic status"
"19","South Boston",6.23108343979991,"economic status"
"20","South Boston Waterfront",9.90972834529958,"economic status"
"21","South End",5.49817357349792,"economic status"
"22","West End",8.20716295083344,"economic status"
"23","West Roxbury",6.60914472855523,"economic status"
"24","Beacon Hill",3.28001007683587,"economic status"
"25","Downtown",3.28001007683587,"economic status"
"26","Chinatown",3.28001007683587,"economic status"
